inhibitor,SMILES,Inh Power
1-Hydroxybenzotriazole,On1nnc2c1cccc2,38.3
"1,2,4-Triazole",c1ncn[nH]1,83.5
"2-Amino-5-(ethylthio)-1,3,4-thiadiazole",CCSc1nnc(s1)N,88.5
2-Mercaptobenzimidazole,Sc1nc2c([nH]1)cccc2,77.9
2-Mercaptopyrimidine,Sc1ncccn1,38
"2,5-Dimercapto-1,3,4-thiaziazole",Sc1nnc(s1)S,56.56
"3-Amino-1,2,4-triazole",Nc1n[nH]cn1,10.22
"3-Amino-5-mercapto-1,2,4-triazole",Nc1n[nH]c(n1)S,88
"3-Amino-5-methylthio-1,2,4-triazole",CSC1=NNC(=N1)N,70.51
"4,6-Diamino-2-mercaptopyrimidine",Nc1cc(N)nc(n1)S,87.88
Benzotriazole,c1ccc2c(c1)[nH]nn2,83.2
Diethyldithiocarbamic acid,CCN(C(=S)S)CC,99.33
Glycerol,OCC(CO)O,83
"3-Amino-1,2,4-triazole-5-thiol",Nc1n[nH]c(S)n1,69.48
Tween-80 / Polyoxyethylene (20) sorbitan monooleate,CCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,61
5-Methyl-1H-benzotriazole,Cc1ccc2c(c1)[nH]nn2,97
3-Formylindole-4-aminobenzoic acid,C1=CC=CC2=C1C(=CN2)C=NCC3=CC=C(C=C3)C(=O)O,61.28
Hexadecyltrimethylammonium bromide / CTAB,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],57.3
Sodium dodecyl sulfate / SDS / Sodium lauryl sulfate / SLS,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],62.26
Potassium sorbate,[K+].[O-]C(=O)\C=C\C=C\C,72.36
2-Mercapto-1-methylimidazole,Cn1c(ncc1)S,62.83
Iidazole (InH1),c1c[nH]cn1,50
4-Methylimi dazole (InH2),Cc1c[nH]cn1,61
4-Mathyl-5 imidazolecarbaldehyde (Inh3),Cc1c(C=O)[nH]cn1,71.23
Ethyl 4-methyl-5-imidazolecarboxylate (lnh4),CCOC(=O)c1c(C)[nH]cn1,81
1-Phenyl-4-methlimidazole (Inh5),Cc1cn(cn1)c2ccccc2,91.13
1-(p-Tolil)-4-methylimidazole (Inh6),Cc1cn(cn1)c2ccc(C)cc2,87.4
4-Methyl-1-(4-methoxyphenyl)imidazole (Inh7),COc1ccc(cc1)n2cc(C)nc2,77.32
4-Fluoro-1H-indazole (4-FIA),Fc1cccc2c1cn[nH]2,87.8
"bis-(4-amino-5-mercapto-1,2,4-triazol-3-yl)-butane (BAMTB)",Nc1nnc(S)n1CCCCc1nnc(N)n1S,99.96
"N,N-bis(3-carbonmethoxy-5-methylpyrazol-1-lymethyl)cyclohexylamine",C1CCCCC1N(CC2=NN(C(=C2)C)C(=O)OC)CC3=NN(C(=C3)C)C(=O)OC,64.44
Cysteine (Cys),C([C@@H](C(=O)O)N)S,80.35
Domperidone,C1CC1c2ccc3c(c2)N=C(N3O)CCCN4CCC(CC4)N5C(=O)Nc6ccccc65,74.8
Trithiocya neric acid (TTCA),SC1=NC(S)=NC(S)=N1,51.57
PBTB,c1ccc2c(c1)nnn2-c3cc(O[K])c(cc3)O[K],81.12
PDBTB,c1ccc2c(c1)nnn2-c3cc(c(cc3O[K])-n4nnc5c4cccc5)O[K],92.98
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,82.48
MTP,OC1=CC=CC=C1C2=NN=C(S)S2,71.43
MHBZO,CC1=NC2=CC=CC=C2NC1=O,96
TA,Cc1ccc(cc1)S(=O)(=O)N=[N+][N-],51.3
MBY,CC(C)C(C)=C(C)O,84.6
Uracil (Ur),O=C1NC=CC(=O)N1,39.2
"5,6-Dihydroudacil (DHUr)",O=C1NCCC(=O)N1,22.5
5-Aminouracil ( Aur),O=C1NC(N)=CC(=O)N1,72.2
2-Thiouracil (TUr),S=C1NC=CC(=O)N1,44.1
